geometry,geometry_vertex_count,ISO_2DIGIT,Shape_Leng,Shape_Area,Name,import_notes,Show in drop down
"<Polygon><outerBoundaryIs><LinearRing><coordinates>1.451527,42.446245 1.723609,42.509436 1.738609,42.616391 1.445836,42.601945</coordinates></LinearRing></outerBoundaryIs></Polygon>",5,AD,104196.211632,620772527.896000,Andorra,,n
"<Polygon><outerBoundaryIs><LinearRing><coordinates>20.22,39.647354 20.413327,39.820136 20.315418,39.9918 20.667082,40.096245 20.791927,40.431545 21.042082,40.564027 20.983491,40.855891 20.740809,40.909536 20.519163,41.246382 20.589645,41.882191 20.525136,42.213054 20.071418,42.560909 19.8225,42.471936 19.651527,42.623191 19.288536,42.182909 19.367773,41.849 19.599163,41.779718 19.4425,41.406945 19.521663,40.909854 19.307209,40.645309 19.479445,40.354854 19.289791,40.421454 19.857291,40.043473 20.010027,39.6912</coordinates></LinearRing></outerBoundaryIs></Polygon>",25,AL,1158249.080570,50922672862.500000,Albania,,n
"<Polygon><outerBoundaryIs><LinearRing><coordinates>11.0168,46.773327 11.177154,46.967354 12.186109,47.094582 12.160273,46.928054 12.440554,46.690827 13.718654,46.526609 14.545,46.407491 14.8675,46.613327 16.1118,46.869718 16.504863,47.006764 16.452009,47.412845 16.713891,47.543882 16.450554,47.698054 17.053891,47.709445 17.166382,48.0125 16.844718,48.361973 16.946182,48.619064 16.540554,48.812354 16.103336,48.75 15.028609,49.018745 14.700282,48.581382 13.833609,48.773609 13.726,48.515591 13.443227,48.560236 13.395,48.3661 12.759718,48.121727 13.008891,47.854164 12.913954,47.725 13.100136,47.642918 13.0125,47.469791 12.736945,47.682709 11.104027,47.396527 10.4818,47.586518 10.173336,47.274718 10.231736,47.373745 9.955,47.539718 9.566727,47.540454 9.670345,47.390691 9.533573,47.274545 9.598636,47.063836 10.109445,46.850273 10.390763,47.002564 10.471236,46.871354</coordinates></LinearRing></outerBoundaryIs></Polygon>",44,AT,2577700.235580,182717670047.000000,Austria,,y
"<Polygon><outerBoundaryIs><LinearRing><coordinates>18.576382,42.663054 18.481736,42.966173 18.702773,43.257145 18.915573,43.357773 19.059573,43.235945 18.949854,43.506036 19.228809,43.513218 19.510554,43.685827 19.239454,44.010609 19.618563,44.052618 19.104445,44.355827 19.371391,44.889164 19.039718,44.861382 18.634163,45.083327 17.860345,45.049373 16.913927,45.265945 16.531091,45.225527 16.291763,44.999118 16.022427,45.214373 15.785763,45.168954 15.740591,44.812245 16.129863,44.492354 16.145482,44.198673 17.254718,43.464027 17.654445,43.047218 17.578527,42.943827 17.649845,42.889073 18.455554,42.565827</coordinates></LinearRing></outerBoundaryIs></Polygon>",29,BA,1546650.697070,100062460344.000000,Bosnia & Herzegovina,,n
"<Polygon><outerBoundaryIs><LinearRing><coordinates>2.650554,50.816109 3.158573,50.784364 3.297082,50.5243 4.165,50.283054 4.149236,49.978373 4.510554,49.947491 4.824727,50.167564 4.868473,49.802218 5.472782,49.508882 5.807882,49.545045 5.899163,49.662773 5.747773,49.907491 5.973054,50.17 6.134409,50.127845 6.3982,50.323173 6.270418,50.619854 6.0118,50.757273 5.638818,50.848882 5.847136,51.153191 5.238973,51.262282 5.038473,51.486945 4.252363,51.375145 4.3277,51.290127 4.2389,51.350427 3.895418,51.205691 3.439863,51.244782 3.370863,51.373854 2.541663,51.091109</coordinates></LinearRing></outerBoundaryIs></Polygon>",29,BE,1434573.189150,76491327495.100006,Belgium,,y
"<Polygon><outerBoundaryIs><LinearRing><coordinates>27.036427,44.147336 26.136382,43.982773 25.531936,43.6436 24.189236,43.684927 22.894445,43.836109 23.042982,44.072564 22.681436,44.2247 22.367218,43.826945 22.541663,43.475618 23.005,43.192773 22.741591,42.892145 22.442909,42.820409 22.558473,42.483327 22.365273,42.323882 23.009236,41.766309 22.9356,41.342127 24.258191,41.569582 25.282354,41.243045 26.14,41.354718 26.077636,41.7143 26.3611,41.711054 26.621382,41.973054 27.070273,42.089991 27.569582,41.909264 28.013054,41.982218 27.679163,42.418318 27.449582,42.472982 27.894091,42.703054 27.945,43.167218 28.127218,43.394982 28.541663,43.437773 28.583245,43.747764</coordinates></LinearRing></outerBoundaryIs></Polygon>",33,BG,2337147.333810,205532468189.000000,Bulgaria,,y
"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.043054,51.610273 24.394227,51.884718 25.240963,51.959854 27.17,51.764164 27.747909,51.466518 27.832082,51.609164 28.256736,51.659291 28.757154,51.415645 29.118054,51.636936 29.342218,51.373182 30.179991,51.491518 30.551418,51.251845 30.565,51.643327 30.959663,52.079345 31.783882,52.108045 31.593818,52.313118 31.579718,52.804573 31.266663,53.023327 31.425754,53.208809 32.223318,53.105554 32.740054,53.458809 32.443527,53.572845 32.456663,53.724573 31.764227,53.804345 31.845554,54.060964 31.328609,54.243254 31.103054,54.645545 30.782709,54.799091 31.027536,55.0485 30.815973,55.301727 30.926245,55.602573 30.245827,55.854436 29.484991,55.692209 29.410063,55.957909 28.746109,55.9561 28.168009,56.150154 27.600245,55.792527 26.985827,55.832354 26.613209,55.674836 26.464854,55.338745 26.8068,55.269718 25.792082,54.873045 25.551663,54.3269 25.7127,54.331518 25.766109,54.153873 25.539927,54.145482 25.466936,54.304364 24.391663,53.890336 23.504036,53.947045 23.935273,52.717491 23.1654,52.282273 23.638609,52.079436 23.604636,51.527691</coordinates></LinearRing></outerBoundaryIs></Polygon>",54,BY,3956278.017620,584946549098.000000,Belarus,,n
"<Polygon><outerBoundaryIs><LinearRing><coordinates>10.390763,47.002564 10.109445,46.850273 9.598636,47.063836 9.474636,47.057454 9.533573,47.274545 9.670345,47.390691 9.566727,47.540454 8.562918,47.806664 8.406945,47.7018 8.576418,47.591373 7.588273,47.584482 7.385418,47.433327 6.990554,47.497218 6.971663,47.291936 6.128682,46.588054 6.115554,46.261527 5.967009,46.207291 6.133263,46.149782 6.295554,46.394164 6.737782,46.447491 6.783473,46.154718 7.038054,45.931936 7.855745,45.919054 8.441454,46.462082 8.445,46.247218 9.036663,45.837773 9.293782,46.500827 9.544863,46.306245 9.946945,46.379582 10.136391,46.230691 10.051391,46.541527 10.457527,46.5425 10.471236,46.871354</coordinates></LinearRing></outerBoundaryIs></Polygon>",38,CH,1769406.656980,89528558145.699997,Switzerland,,n
"<Polygon><outerBoundaryIs><LinearRing><coordinates>32.278609,35.095409 32.405827,34.749854 32.713882,34.640273 33.369018,34.726527 33.681382,34.9668 34.085273,34.961664 33.921391,35.272773 34.586036,35.688609 32.9321,35.263627</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,CY,661592.118396,14813203713.200001,Cyprus,,y
"<Polygon><outerBoundaryIs><LinearRing><coordinates>18.578745,49.912218 17.657773,50.108054 17.724445,50.319027 16.890973,50.438673 17.002218,50.216945 16.64,50.108891 16.219027,50.410273 16.447363,50.578818 16.332009,50.664027 15.379718,50.779445 15.176945,51.014718 14.828336,50.865827 14.306245,51.052491 14.311391,50.882218 12.985554,50.418327 12.515418,50.392491 12.323054,50.206664 12.0937,50.322536 12.545973,49.909582 12.455554,49.695545 12.674445,49.425 13.833609,48.773609 14.700282,48.581382 15.028609,49.018745 16.103336,48.75 16.540554,48.812354 16.946182,48.619064 17.187909,48.869445 17.712218,48.856109 18.5659,49.493673 18.851245,49.517354</coordinates></LinearRing></outerBoundaryIs></Polygon>",32,CZ,2171434.281460,187839021890.000000,Czech Republic,,y
