Kuntanro,Kunta,Maakuntanro,Avinro,Elynro,geometry
280,Korsnäs,15,4,12,"<Polygon><outerBoundaryIs><LinearRing><coordinates>21.163886,62.69065 21.212516,62.685261 21.213839,62.671722 21.268757,62.681299 21.289443,62.670451 21.300632,62.683336 21.328998,62.686858 21.327813,62.711186 21.359186,62.719377 21.374345,62.75765 21.303051,62.810068 21.329019,62.82753 21.359114,62.820944 21.371589,62.835941 21.318237,62.883289 21.303095,62.890575 21.27343,62.894594 21.261428,62.886299 21.249597,62.891551 21.246638,62.886621 21.260821,62.88272 21.262375,62.866116 21.242567,62.866003 21.232969,62.894844 21.200148,62.914532 21.205294,62.919973 21.189277,62.921222 21.177418,62.928829 21.169199,62.909723 21.206479,62.889486 21.202963,62.879027 21.252429,62.859541 21.245069,62.856396 21.253375,62.841578 21.227225,62.81778 21.219704,62.820309 21.206473,62.815282 21.209281,62.805054 21.182467,62.806442 21.176035,62.817037 21.141607,62.811603 21.123906,62.798871 21.127678,62.773429 21.149088,62.747678 21.161442,62.747851 21.169421,62.752922 21.181103,62.751266 21.175742,62.726669 21.146477,62.715194 21.148267,62.703529 21.107604,62.695779 21.108168,62.691334 21.101594,62.690778 21.090769,62.70297 21.080984,62.684026 21.090402,62.681182</coordinates></LinearRing></outerBoundaryIs></Polygon>"
619,Punkalaidun,6,4,5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>23.260097,61.018726 23.265297,61.059042 23.250952,61.074333 23.281864,61.080741 23.251587,61.085238 23.253951,61.101674 23.227519,61.107718 23.250422,61.116278 23.277249,61.112501 23.383194,61.130928 23.259522,61.185517 23.27306,61.221234 23.242102,61.223971 23.235646,61.209566 23.166993,61.213242 23.105271,61.197659 23.056555,61.197584 23.048049,61.194181 23.005343,61.185698 22.934138,61.205067 22.956013,61.176706 22.915581,61.178895 22.942576,61.124487 22.972086,61.11593 22.916478,61.086695 22.94876,61.076626 22.995292,61.087723 22.984842,61.068136 22.960329,61.058605 22.96729,61.043025 23.016911,61.022332 23.107966,61.033843 23.147678,61.031214 23.16479,61.005524 23.195259,61.001149</coordinates></LinearRing></outerBoundaryIs></Polygon>"
620,Puolanka,18,5,14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>28.261282,65.006523 28.128877,65.077081 28.136376,65.107306 28.205081,65.132434 28.219868,65.157294 28.198379,65.20475 27.995532,65.221261 27.948417,65.205754 27.894326,65.091472 27.666832,65.121406 27.571293,65.09432 27.45145,65.086988 27.329894,65.090678 27.262637,65.02746 27.385261,64.959235 27.405098,64.923508 27.36958,64.890149 27.393275,64.846839 27.361181,64.843131 27.374985,64.830812 27.354394,64.812133 27.148197,64.835325 27.118825,64.81483 27.197587,64.777124 27.279565,64.717061 27.230568,64.716404 27.229861,64.701338 27.259746,64.707687 27.244244,64.69592 27.267019,64.644989 27.259762,64.624916 27.35922,64.604942 27.396787,64.571576 27.451026,64.54274 27.489243,64.548511 27.4915,64.52338 27.534668,64.502552 27.562387,64.516723 27.617762,64.50412 27.715708,64.5353 27.755568,64.529371 27.831695,64.554639 27.871044,64.57746 27.899344,64.602351 28.074368,64.632894 28.0565,64.808536 28.148372,64.808185 28.294534,64.898277</coordinates></LinearRing></outerBoundaryIs></Polygon>"
284,Koski Tl,2,2,2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>23.140749,60.578232 23.191033,60.571432 23.2084,60.585815 23.24662,60.615732 23.224815,60.64948 23.243099,60.67616 23.211769,60.692546 23.154627,60.774207 23.102834,60.741692 23.031253,60.698857 22.964677,60.710989 22.971002,60.694282 23.016215,60.656011 23.100438,60.573525</coordinates></LinearRing></outerBoundaryIs></Polygon>"
623,Puumala,10,3,7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>27.85659,61.351143 27.93195,61.35043 28.060103,61.355367 28.252778,61.379691 28.285822,61.391034 28.307779,61.4169 28.340112,61.416295 28.34296,61.431951 28.410805,61.453922 28.440355,61.5115 28.458342,61.500992 28.48355,61.510296 28.525687,61.498387 28.524401,61.478417 28.634092,61.470216 28.671603,61.469304 28.695711,61.480185 28.774902,61.480203 28.812532,61.507616 28.812929,61.535436 28.729342,61.559895 28.623372,61.567484 28.620868,61.58156 28.594022,61.591628 28.579294,61.595126 28.502398,61.612983 28.470958,61.611824 28.4503,61.642785 28.421421,61.644358 28.385828,61.670099 28.329378,61.668674 28.27147,61.67152 28.262282,61.686985 28.226324,61.681322 28.176648,61.716865 28.112627,61.658959 28.133791,61.649284 28.125678,61.626483 28.105398,61.616539 28.088804,61.632103 28.061412,61.627654 28.039116,61.636006 28.029375,61.653327 27.967952,61.647515 27.991481,61.615219 27.943041,61.597268 27.937524,61.55269 27.900275,61.54564 27.858415,61.540012 27.792157,61.502946 27.763602,61.505017 27.747475,61.492445 27.759172,61.478788 27.740842,61.468149 27.756712,61.448236 27.746003,61.43447 27.679196,61.423311 27.686463,61.391279 27.749842,61.369439 27.79287,61.36198</coordinates></LinearRing></outerBoundaryIs></Polygon>"
285,Kotka,8,1,6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>26.851018,60.476288 26.869515,60.464829 26.870509,60.451461 26.845353,60.446933 26.854923,60.428469 26.865197,60.435651 26.883579,60.430965 26.883582,60.424732 26.910408,60.420499 26.916069,60.428459 26.903131,60.432009 26.920139,60.432881 26.920872,60.445119 26.908397,60.449657 26.913056,60.456948 26.893645,60.460564 26.883284,60.467197 26.896797,60.470821 26.886631,60.478441 26.889781,60.48251 26.897043,60.480958 26.922463,60.453678 26.938849,60.443742 26.953443,60.457494 26.967847,60.459715 26.959339,60.462176 26.964089,60.468837 26.948689,60.472628 26.935727,60.470127 26.947177,60.480301 26.939752,60.488317 26.926372,60.482674 26.911536,60.49453 26.91695,60.497334 26.92926,60.49262 26.938028,60.500074 26.978757,60.464599 26.988028,60.464241 26.969511,60.487914 26.974236,60.49274 26.984375,60.489461 26.990263,60.492935 26.978189,60.510793 27.006922,60.507788 27.021493,60.517448 27.000752,60.549612 27.008704,60.553378 27.028057,60.604702 26.922407,60.648488 26.876425,60.637411 26.839776,60.638952 26.781908,60.673483 26.750688,60.670646 26.741512,60.656175 26.759249,60.640681 26.754471,60.626373 26.782993,60.615831 26.777748,60.583879 26.753667,60.575805 26.74953,60.574875 26.841872,60.466256</coordinates></LinearRing></outerBoundaryIs></Polygon>"
624,Pyhtää,8,1,6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>26.471048,60.483435 26.48439,60.465308 26.50646,60.452867 26.524174,60.448318 26.533002,60.450952 26.550213,60.435552 26.571358,60.429559 26.572313,60.438748 26.565044,60.439792 26.562642,60.451183 26.574405,60.45758 26.623873,60.457451 26.637123,60.453655 26.648822,60.436638 26.634632,60.434737 26.597173,60.44754 26.592691,60.442752 26.576414,60.441117 26.574905,60.43018 26.587965,60.425451 26.55887,60.420516 26.556121,60.415184 26.537034,60.410591 26.508186,60.421653 26.510028,60.398468 26.52995,60.384951 26.532195,60.37764 26.546237,60.373941 26.555965,60.378681 26.547784,60.396676 26.565142,60.40154 26.571756,60.399287 26.584702,60.409447 26.586408,60.405813 26.622058,60.415078 26.661473,60.415086 26.646965,60.431217 26.651338,60.432731 26.67826,60.424376 26.676232,60.432005 26.705381,60.430048 26.72256,60.449512 26.744556,60.449004 26.734193,60.477102 26.743878,60.480936 26.760405,60.477704 26.777349,60.487516 26.789718,60.486765 26.768209,60.475438 26.748436,60.472984 26.765984,60.454908 26.793348,60.454465 26.825007,60.462789 26.826138,60.458573 26.83497,60.459526 26.83284,60.463661 26.841872,60.466256 26.74953,60.574875 26.753667,60.575805 26.683421,60.649631 26.649699,60.652217 26.603114,60.644404 26.541541,60.57732 26.539017,60.553389 26.509321,60.554251 26.497008,60.52418 26.472543,60.514681 26.452555,60.488927</coordinates></LinearRing></outerBoundaryIs></Polygon>"
286,Kouvola,8,1,6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>26.603114,60.644404 26.649699,60.652217 26.683421,60.649631 26.753667,60.575805 26.777748,60.583879 26.782993,60.615831 26.754471,60.626373 26.759249,60.640681 26.741512,60.656175 26.750688,60.670646 26.781908,60.673483 26.839776,60.638952 26.876425,60.637411 26.922407,60.648488 27.041823,60.67952 27.066998,60.672928 27.102954,60.685707 27.125623,60.72648 27.111015,60.740476 27.127548,60.766057 27.201678,60.760862 27.24745,60.777629 27.272065,60.787632 27.26113,60.801002 27.292791,60.822115 27.334029,60.816993 27.378734,60.838864 27.427937,60.842871 27.360819,60.883058 27.213538,60.904454 27.160808,60.936928 27.173998,60.950935 27.219724,60.970296 27.207151,60.999575 27.172236,60.998128 27.141776,61.010348 27.154879,61.023106 27.162304,61.07191 27.184291,61.086052 27.228784,61.090578 27.214095,61.103638 27.177733,61.107483 27.215681,61.149377 27.206562,61.162791 27.055996,61.151661 26.912005,61.183139 26.929377,61.209928 26.890854,61.242406 26.877755,61.278418 26.779289,61.269782 26.746159,61.231061 26.661165,61.207262 26.629889,61.221261 26.666952,61.252665 26.617839,61.287212 26.51387,61.274374 26.444257,61.262849 26.425224,61.251374 26.431356,61.2374 26.396886,61.213992 26.384862,61.18808 26.268879,61.149925 26.235012,61.130086 26.277842,61.106833 26.310707,61.10654 26.249035,61.04033 26.256872,61.026789 26.319895,61.003993 26.349943,61.008864 26.355484,61.022941 26.386269,61.027782 26.422943,61.012105 26.503994,61.009685 26.495676,60.990863 26.535127,60.942771 26.544583,60.884191 26.531764,60.870969 26.475862,60.875337 26.510937,60.840765 26.471702,60.824388 26.379978,60.80207 26.396639,60.779521 26.372196,60.76078 26.300357,60.749082 26.298835,60.732069 26.331185,60.710866 26.325478,60.696803 26.3476,60.661391 26.431779,60.649569 26.458938,60.639185 26.483863,60.59721 26.538788,60.595406 26.541541,60.57732</coordinates></LinearRing></outerBoundaryIs></Polygon>"
625,Pyhäjoki,17,5,13,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.175765,64.333265 24.234041,64.327297 24.26963,64.309862 24.309628,64.327544 24.340208,64.331351 24.339761,64.311935 24.355354,64.340331 24.386842,64.34142 24.408097,64.357531 24.380728,64.36417 24.43038,64.369375 24.469568,64.385529 24.506929,64.360585 24.473955,64.358286 24.480265,64.373026 24.456445,64.362502 24.450164,64.344223 24.541849,64.357929 24.518607,64.367338 24.534834,64.381006 24.587378,64.362322 24.579025,64.377511 24.654837,64.374057 24.644204,64.360542 24.679944,64.354414 24.710812,64.358826 24.725415,64.371555 24.796944,64.37754 24.811401,64.391284 24.889319,64.386425 24.878272,64.391766 24.820634,64.445901 24.787783,64.444874 24.705899,64.476979 24.575825,64.484973 24.250573,64.535136 24.277951,64.506845 24.296762,64.499342 24.268171,64.497472 24.263461,64.504579 24.248668,64.503343 24.259816,64.501105 24.254838,64.497431 24.230369,64.497196 24.228801,64.462226 24.219432,64.479181 24.204505,64.482919 24.178937,64.464603 24.18739,64.461022 24.179136,64.45585 24.155663,64.457597 24.125938,64.44854 24.117842,64.437524 24.084004,64.441188 24.094112,64.415229 24.036045,64.413407 23.98892,64.373956</coordinates></LinearRing></outerBoundaryIs></Polygon>"
287,Kristiinankaupunki,15,4,12,"<Polygon><outerBoundaryIs><LinearRing><coordinates>21.366025,61.964267 21.427372,62.009973 21.524152,62.024693 21.647302,62.019499 21.62571,62.099163 21.643199,62.11172 21.642047,62.149515 21.669124,62.140745 21.704576,62.166437 21.667082,62.18663 21.710659,62.212812 21.759984,62.224684 21.74327,62.250774 21.714754,62.259438 21.679951,62.259116 21.668488,62.276741 21.685069,62.346333 21.671926,62.36026 21.594595,62.36033 21.566413,62.356823 21.524212,62.379517 21.552612,62.396696 21.557067,62.413362 21.55458,62.424299 21.488843,62.37778 21.32473,62.306238 21.318123,62.296753 21.324609,62.299147 21.334477,62.294939 21.343314,62.314016 21.350895,62.31383 21.346088,62.290749 21.31887,62.259164 21.318766,62.247255 21.352059,62.247744 21.361469,62.264917 21.382974,62.270279 21.378257,62.230227 21.400831,62.215354 21.398019,62.202383 21.380276,62.200017 21.358216,62.185312 21.36576,62.137156 21.358533,62.140988 21.34513,62.138231 21.341247,62.143408 21.337579,62.13873 21.327978,62.14417 21.336367,62.158913 21.328631,62.162832 21.310927,62.151491 21.321895,62.10001 21.319849,62.067723 21.310989,62.072184 21.31279,62.052869 21.282195,61.991476 21.286827,61.987521 21.329852,62.001543 21.338737,61.998971 21.341749,61.984604 21.324168,61.983286 21.324307,61.973522 21.312633,61.9685 21.329503,61.953864</coordinates></LinearRing></outerBoundaryIs></Polygon>"
