Kunta,geometry
Nousiainen,"<Polygon><outerBoundaryIs><LinearRing><coordinates>22.414418,60.737169 22.367135,60.699563 22.361542,60.696476 22.306431,60.671635 22.284075,60.659064 22.246237,60.635339 22.257396,60.613289 22.253361,60.606948 22.250753,60.599582 22.22938,60.601984 22.210239,60.59669 22.209625,60.625957 22.151922,60.593098 22.087922,60.582177 22.041844,60.564058 22.024656,60.580694 22.006892,60.575708 22.000139,60.600416 21.986336,60.607575 21.969387,60.609821 21.954378,60.605893 21.947657,60.6114 21.943175,60.615069 21.965136,60.624538 21.972529,60.620978 21.980977,60.629452 21.978066,60.635587 22.026949,60.649186 22.041929,60.657196 22.096135,60.687033 22.373881,60.747281 22.414418,60.737169</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Oripää,"<Polygon><outerBoundaryIs><LinearRing><coordinates>22.774133,60.901547 22.77852,60.86772 22.770776,60.852585 22.792386,60.823717 22.81678,60.813396 22.758309,60.815241 22.730684,60.825184 22.684438,60.828519 22.65502,60.827224 22.589915,60.84819 22.55326,60.873455 22.553026,60.883221 22.560098,60.894408 22.57122,60.901414 22.58392,60.905738 22.602409,60.926801 22.619401,60.914464 22.631385,60.911645 22.648332,60.914622 22.654872,60.904312 22.719201,60.908057 22.751727,60.917729 22.749216,60.937718 22.768518,60.938522 22.774133,60.901547</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Espoo,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.627611,60.358936 24.666514,60.362498 24.704535,60.352574 24.721253,60.348426 24.749123,60.341499 24.742441,60.320469 24.765075,60.325742 24.772801,60.299151 24.765076,60.268065 24.784896,60.241734 24.830939,60.254051 24.844163,60.222455 24.84568,60.199345 24.844546,60.166745 24.835132,60.130102 24.782026,60.100594 24.813284,60.066032 24.902868,59.966531 24.942292,59.922489 24.929961,59.921339 24.831407,59.901398 24.745406,60.008021 24.714306,60.030021 24.685483,60.048978 24.644339,60.091662 24.652864,60.099888 24.655016,60.106569 24.64032,60.130772 24.619886,60.153772 24.592644,60.159797 24.504222,60.213561 24.52599,60.246227 24.505634,60.255299 24.515331,60.28144 24.50067,60.326204 24.562755,60.314088 24.595452,60.324188 24.606795,60.333967 24.618347,60.350173 24.627611,60.358936</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>24.721708,60.203139 24.739769,60.207034 24.750827,60.217646 24.747177,60.223124 24.736234,60.220329 24.713539,60.225824 24.678219,60.216395 24.676039,60.210168 24.721708,60.203139</coordinates></LinearRing></innerBoundaryIs></Polygon>"
Tuusula,"<Polygon><outerBoundaryIs><LinearRing><coordinates>25.045753,60.576887 25.151774,60.516729 25.13988,60.505165 25.107123,60.50047 25.095215,60.512027 25.037526,60.512886 25.050731,60.496572 25.056369,60.489599 25.037864,60.476986 25.058543,60.462304 25.039141,60.455826 25.050154,60.448173 25.100556,60.443362 25.122769,60.446935 25.118787,60.458071 25.137511,60.460782 25.148722,60.462323 25.150173,60.440475 25.082849,60.425705 25.079323,60.412106 25.079394,60.399725 25.081151,60.392258 25.084394,60.381876 25.075616,60.373131 25.020744,60.367913 25.049556,60.348142 25.036846,60.342088 25.003393,60.333127 24.954654,60.332615 24.941749,60.338972 24.932912,60.344426 24.913962,60.358329 24.906821,60.364514 24.874653,60.383696 24.868456,60.40153 24.894219,60.419926 24.901348,60.436012 24.932113,60.450203 24.935678,60.460526 24.964387,60.492381 24.976167,60.524283 24.938257,60.517514 24.913535,60.542216 24.912583,60.555733 24.960067,60.569096 24.990797,60.565557 25.021057,60.568617 25.022504,60.57743 25.039017,60.580747 25.045753,60.576887</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Hanko,"<Polygon><outerBoundaryIs><LinearRing><coordinates>22.813962,59.877503 22.847763,59.869354 22.955466,59.881919 22.986999,59.87887 23.008899,59.875792 23.089749,59.935951 23.130939,59.937167 23.140336,59.907152 23.16054,59.902475 23.220074,59.932181 23.29522,59.901792 23.252122,59.863307 23.260873,59.855327 23.287223,59.853768 23.287454,59.833872 23.283605,59.830968 23.260714,59.8137 23.217556,59.757993 23.216341,59.682277 23.215336,59.651187 22.85742,59.635612 22.65891,59.611003 22.700899,59.671494 22.710223,59.686569 22.772916,59.790579 22.809956,59.85129 22.813962,59.877503</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Rovaniemi,"<Polygon><outerBoundaryIs><LinearRing><coordinates>25.350203,67.151222 25.402736,67.148219 25.525875,67.141544 25.61145,67.136605 25.614369,67.104935 25.659904,67.100921 25.661708,67.10085 25.662829,67.104274 25.674654,67.133118 25.77541,67.12747 25.86157,67.122511 25.903982,67.120122 25.992389,67.09191 26.076546,67.064985 26.136,67.045903 26.231803,67.015138 26.264092,67.004639 26.29658,66.994209 26.37298,66.954596 26.406233,66.950833 26.443634,66.948237 26.51722,66.943043 26.467822,66.934667 26.504515,66.913023 26.533135,66.896346 26.544078,66.888751 26.580397,66.86286 26.609161,66.842106 26.655971,66.823942 26.661026,66.806811 26.667157,66.784465 26.66827,66.7801 26.689074,66.707423 26.697455,66.679427 26.709563,66.633675 26.714371,66.616357 26.696851,66.574372 26.814018,66.519579 26.941613,66.45967 26.975068,66.443879 27.148597,66.361987 27.166532,66.353572 27.250845,66.331787 27.234109,66.312535 27.272571,66.277044 27.261406,66.256608 27.313629,66.243506 27.326456,66.237493 27.260202,66.198217 27.25636,66.195934 27.252331,66.204641 27.18743,66.197869 27.094828,66.202321 27.04239,66.234151 27.005292,66.247254 26.971143,66.242832 26.937964,66.243196 26.933186,66.267282 26.89856,66.301372 26.868142,66.301257 26.802206,66.300137 26.725449,66.298608 26.680073,66.294498 26.668021,66.293382 26.633155,66.290314 26.579363,66.285465 26.578814,66.267373 26.58216,66.261453 26.571598,66.248976 26.591045,66.238933 26.633839,66.225271 26.616583,66.216396 26.544354,66.202621 26.46946,66.188522 26.43511,66.223147 26.368672,66.222891 26.292345,66.195608 26.253735,66.195863 26.203022,66.180096 26.181378,66.180672 26.157215,66.174429 26.129397,66.158795 26.104746,66.17045 26.09087,66.170369 26.07906,66.157172 26.071416,66.158607 25.775051,66.213741 25.544422,66.209864 25.53509,66.209736 25.496076,66.209575 25.341839,66.209741 25.020614,66.286998 25.006222,66.290374 24.888066,66.317832 24.881646,66.319324 24.801701,66.337594 24.822647,66.348776 24.890415,66.384177 24.952606,66.418751 25.022244,66.459076 25.049828,66.47547 25.04354,66.516666 25.009488,66.687441 24.999663,66.721845 24.998238,66.725502 24.988176,66.754316 24.972586,66.776537 24.961665,66.793747 24.95738,66.800943 24.918917,66.860038 24.90541,66.881419 24.885939,66.912527 24.883351,66.916557 24.869937,66.937989 24.857821,66.95737 24.85442,66.962802 24.848365,66.971378 24.798791,67.049108 24.760692,67.107947 24.750353,67.125957 24.736519,67.151933 24.860204,67.176941 24.864171,67.178131 24.914047,67.174993 24.978105,67.171056 25.341514,67.151132 25.345232,67.151532 25.350203,67.151222</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Geta,"<Polygon><outerBoundaryIs><LinearRing><coordinates>19.94839,60.380443 19.945487,60.376223 19.9379,60.363772 19.894416,60.357276 19.883693,60.329359 19.845567,60.319188 19.829957,60.322339 19.817114,60.32591 19.811361,60.324987 19.769854,60.334773 19.748244,60.343828 19.74207,60.344597 19.720511,60.347294 19.714918,60.352616 19.723332,60.372881 19.722035,60.394838 19.721057,60.397385 19.713993,60.408341 19.710429,60.410377 19.68562,60.428116 19.630584,60.481977 19.473214,60.66579 19.545539,60.681143 19.556517,60.683377 19.567448,60.685419 19.578495,60.687306 19.58965,60.689036 19.601085,60.69063 19.612427,60.692038 19.623849,60.693284 19.635525,60.694384 19.797822,60.708346 19.868162,60.51191 19.889102,60.455269 19.906674,60.450006 19.965157,60.43073 19.993699,60.418834 19.964667,60.404057 19.94839,60.380443</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Larsmo,"<Polygon><outerBoundaryIs><LinearRing><coordinates>22.287888,64.009385 22.749613,63.947742 22.80878,63.895449 22.886661,63.813375 22.859112,63.785077 22.929077,63.777991 22.922161,63.775489 22.841739,63.746359 22.830206,63.735887 22.785263,63.691597 22.745235,63.698814 22.732817,63.714739 22.689416,63.721841 22.674363,63.71102 22.574494,63.727112 22.562378,63.729051 22.496264,63.739789 22.096499,63.833002 22.120123,63.8476 22.198146,63.936704 22.203916,63.942954 22.210166,63.949114 22.21689,63.955178 22.22402,63.96109 22.254989,63.985729 22.269258,63.996497 22.278309,64.003033 22.287888,64.009385</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Kronoby,"<Polygon><outerBoundaryIs><LinearRing><coordinates>22.929077,63.777991 22.989158,63.788145 23.011505,63.79172 23.029876,63.78845 23.054377,63.780659 23.062328,63.778157 23.118875,63.757154 23.146814,63.747417 23.166352,63.741034 23.241714,63.71423 23.267799,63.743118 23.291835,63.75292 23.331503,63.760736 23.358047,63.757328 23.39152,63.759325 23.404719,63.750613 23.420959,63.753179 23.437664,63.741425 23.443426,63.73771 23.457531,63.741455 23.455155,63.761761 23.477933,63.779201 23.524315,63.760434 23.551302,63.749662 23.580458,63.738862 23.596105,63.730359 23.618683,63.721413 23.684478,63.699817 23.743782,63.675569 23.704347,63.656578 23.649344,63.670864 23.609661,63.649956 23.547222,63.634697 23.542121,63.633718 23.530859,63.634717 23.523711,63.637228 23.513903,63.643302 23.508073,63.646161 23.504284,63.648385 23.500038,63.656504 23.473834,63.659947 23.484921,63.639802 23.453968,63.629091 23.467331,63.620017 23.460685,63.612036 23.434048,63.617579 23.423083,63.615944 23.487303,63.588221 23.559585,63.602549 23.579057,63.553476 23.651163,63.530885 23.658244,63.488864 23.658306,63.483032 23.660056,63.435042 23.709698,63.38305 23.696845,63.380413 23.624757,63.401412 23.559156,63.440097 23.564667,63.449673 23.535339,63.471824 23.522888,63.464567 23.420497,63.481848 23.393414,63.497947 23.406206,63.500833 23.391372,63.509289 23.370986,63.520897 23.35671,63.529019 23.279093,63.572904 23.272338,63.577477 23.189677,63.625172 23.183365,63.62881 23.163275,63.638071 23.127039,63.648436 23.112072,63.650596 23.099385,63.652339 23.056483,63.657946 23.024943,63.67033 22.95761,63.685103 22.937983,63.677754 22.907548,63.691352 22.905117,63.692209 22.884292,63.699676 22.877681,63.707842 22.877006,63.719478 22.857299,63.726394 22.830206,63.735887 22.841739,63.746359 22.922161,63.775489 22.929077,63.777991</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Rääkkylä,"<Polygon><outerBoundaryIs><LinearRing><coordinates>29.763286,62.407715 29.82597,62.408572 29.836168,62.399253 29.845533,62.392292 29.854485,62.385259 29.857502,62.382887 29.883011,62.374678 29.890981,62.373312 29.945242,62.367513 29.949782,62.370371 29.970224,62.367304 29.980547,62.366692 29.986387,62.3664 29.992441,62.359041 29.996886,62.351899 30.036662,62.287814 30.031652,62.287389 29.996894,62.28858 29.981253,62.289106 29.96277,62.283364 29.968959,62.270238 29.984867,62.264369 29.996896,62.252144 30.004817,62.244094 29.996899,62.24253 29.982431,62.239663 29.944953,62.225011 29.909771,62.23207 29.876075,62.215113 29.871225,62.2123 29.909774,62.205221 29.932704,62.191554 29.914831,62.179116 29.918445,62.174673 29.947136,62.159652 29.951464,62.146043 29.891401,62.167235 29.869642,62.176991 29.784375,62.194189 29.711522,62.170275 29.674025,62.181908 29.641072,62.182829 29.613,62.175267 29.541655,62.204766 29.480361,62.235018 29.42994,62.236456 29.393811,62.250298 29.369223,62.275971 29.307618,62.334143 29.297151,62.383563 29.296401,62.387103 29.518299,62.399687 29.538523,62.407248 29.589587,62.384733 29.64534,62.360087 29.699726,62.385014 29.705044,62.38745 29.763379,62.397941 29.763286,62.407715</coordinates></LinearRing></outerBoundaryIs></Polygon>"
