"Kunta","Latitude","Longitude"
"Akaa",61.167408,23.867642
"Alajärvi",63.00285,23.803185
"Alavieska",64.158003,24.299759
"Alavus",62.586607,23.617282
"Asikkala",61.172331,25.538409
"Askola",60.526205,25.591785
"Aura",60.655292,22.593584
"Brändö",60.41338,21.044081
"Eckerö",60.21344,19.626181
"Enonkoski",62.091052,28.922629
"Enontekiö",68.385909,23.60561
"Espoo",60.20678,24.65578
"Eura",61.131415,22.14648
"Eurajoki",61.203184,21.738904
"Evijärvi",63.362182,23.459548
"Finström",60.229252,19.98921
"Forssa",60.824104,23.587275
"Föglö",60.03001,20.38789
"Geta",60.375191,19.848301
"Haapajärvi",63.745705,25.335395
"Haapavesi",64.1409,25.367871
"Hailuoto",65.0132,24.728905
"Halsua",63.465301,24.165394
"Hamina",60.570992,27.189425
"Hammarland",60.216461,19.73711
"Hankasalmi",62.396007,26.43071
"Hanko",59.82332,22.96822
"Harjavalta",61.31049,22.11737
"Hartola",61.58064,26.00777
"Hattula",61.05386,24.37172
"Hausjärvi",60.7889,25.020735
"Heinola",61.202291,26.036436
"Heinävesi",62.423315,28.624105
"Helsinki",60.17116,24.93258
"Hirvensalmi",61.646105,26.772059
"Hollola",60.985714,25.537673
"Honkajoki",62.00408,22.232362
"Huittinen",61.188817,22.688858
"Humppila",60.933793,23.36465
"Hyrynsalmi",64.67933,28.48336
"Hyvinkää",60.629295,24.8574
"Hämeenkoski",61.021995,25.15348
"Hämeenkyrö",61.653732,23.175646
"Hämeenlinna",60.996895,24.466265
"Ii",65.322485,25.377725
"Iisalmi",63.55664,27.19146
"Iitti",60.8942,26.33842
"Ikaalinen",61.761652,23.069712
"Ilmajoki",62.72764,22.58856
"Ilomantsi",62.666899,30.937516
"Imatra",61.213404,28.825477
"Inari",68.906185,27.027515
"Inkoo",60.04602,24.005355
"Isojoki",62.114536,21.957375
"Isokyrö",62.998262,22.320665
"Jalasjärvi",62.491804,22.745358
"Janakkala",60.920625,24.649785
"Joensuu",62.604225,29.759265
"Jokioinen",60.791253,23.498402
"Jomala",60.15871,19.943541
"Joroinen",62.182461,27.820605
"Joutsa",61.742449,26.115608
"Juankoski",63.06517,28.32945
"Juuka",63.24358,29.255269
"Juupajoki",61.797221,24.435872
"Juva",61.894588,27.866609
"Jyväskylä",62.24049,25.751295
"Jämijärvi",61.822029,22.686075
"Jämsä",61.865018,25.176749
"Järvenpää",60.471294,25.089955
"Kaarina",60.41014,22.384209
"Kaavi",62.97441,28.486644
"Kajaani",64.225305,27.729545
"Kalajoki",64.259436,23.944601
"Kangasala",61.463485,24.0735
"Kangasniemi",62.005273,26.647527
"Kankaanpää",61.80307,22.39508
"Kannonkoski",62.97855,25.2664
"Kannus",63.903475,23.923265
"Karijoki",62.305767,21.699507
"Karkkila",60.534325,24.226075
"Karstula",62.881293,24.799977
"Karvia",62.14048,22.56376
"Kaskinen",62.380215,21.238619
"Kauhajoki",62.454823,22.213747
"Kauhava",63.105971,23.057789
"Kauniainen",60.211642,24.729048
"Kaustinen",63.547708,23.693802
"Keitele",63.178253,26.341063
"Kemi",65.736605,24.567065
"Kemijärvi",66.718941,27.389046
"Keminmaa",65.795675,24.52772
"Kemiönsaari",60.16945,22.73735
"Kempele",64.912102,25.507429
"Kerava",60.401685,25.128357
"Keuruu",62.259475,24.696065
"Kihniö",62.198965,23.189565
"Kinnula",63.368945,24.974996
"Kirkkonummi",60.12315,24.441655
"Kitee",62.103875,30.135511
"Kittilä",67.65684,24.9084
"Kiuruvesi",63.65175,26.61161
"Kivijärvi",63.119735,25.081655
"Kokemäki",61.255985,22.346685
"Kokkola",63.838455,23.13003
"Kolari",67.33146,23.7829
"Konnevesi",62.621835,26.267955
"Kontiolahti",62.76317,29.847251
"Korsnäs",62.78509,21.18869
"Koski Tl",60.65668,23.135345
"Kotka",60.46631,26.946485
"Kouvola",60.871255,26.703185
"Kristiinankaupunki",62.271923,21.394115
"Kruunupyy",63.731035,23.03892
"Kuhmo",64.121605,29.50632
"Kuhmoinen",61.564801,25.178958
"Kumlinge",60.314054,20.704044
"Kuopio",62.89313,27.676125
"Kuortane",62.808785,23.513745
"Kurikka",62.622079,22.390229
"Kustavi",60.545117,21.356268
"Kuusamo",65.977665,29.17215
"Kyyjärvi",63.044776,24.558774
"Kärkölä",60.87353,25.272664
"Kärsämäki",63.981404,25.75745
"Kökar",59.92107,20.908501
"Köyliö",61.117898,22.308105
"Lahti",60.982995,25.65739
"Laihia",62.97807,22.01341
"Laitila",60.874496,21.696631
"Lapinjärvi",60.624626,26.219344
"Lapinlahti",63.366375,27.391945
"Lappajärvi",63.225242,23.629999
"Lappeenranta",61.05534,28.189015
"Lapua",62.972328,23.003516
