No,Yhtiö,geometry
7,Enontekiön Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>25.024716,68.395313 24.972268,68.463104 24.90119,68.554976 24.85507,68.561681 24.781753,68.638086 24.604855,68.682944 24.283549,68.721713 24.242542,68.727928 24.209248,68.748017 24.153979,68.753975 24.149478,68.789151 24.074795,68.779281 23.98043,68.8275 23.871963,68.837576 23.772395,68.818513 23.734677,68.751568 23.677239,68.707446 23.440621,68.692304 23.167377,68.630394 23.045892,68.690405 22.797767,68.688713 22.625387,68.723071 22.53063,68.74642 22.375312,68.717271 22.337927,68.827974 22.184853,68.918435 22.174233,68.95603 21.842317,69.1449 21.631169,69.27545 21.285481,69.31262 21.090524,69.258623 21.005048,69.224618 20.992387,69.1914 21.054116,69.125414 21.106339,69.102209 21.058473,69.038459 20.717196,69.119425 20.55553,69.060768 20.574494,69.053716 20.607007,69.049758 20.642391,69.044176 20.675535,69.04627 20.702758,69.043825 20.753149,69.036185 20.796594,69.027416 20.829797,69.003602 20.8453,68.991221 20.883386,68.983966 20.909543,68.967651 20.902632,68.949288 20.889564,68.944506 20.865812,68.943651 20.845154,68.940317 20.853721,68.926824 20.859659,68.922725 20.882913,68.916662 20.894292,68.901544 20.880543,68.899324 20.879358,68.894968 20.889548,68.892747 20.906136,68.893343 20.912303,68.897015 20.940748,68.898033 20.954241,68.892476 20.961351,68.892729 21.020554,68.886199 21.02905,68.881323 21.038527,68.881657 21.066886,68.874026 21.071549,68.865565 21.104382,68.858948 21.1169,68.856795 21.135736,68.848824 21.137322,68.842843 21.144871,68.841379 21.169314,68.830149 21.182933,68.823719 21.198011,68.820787 21.22276,68.817322 21.243443,68.811128 21.255406,68.792566 21.278041,68.778676 21.292475,68.768817 21.301305,68.762218 21.320822,68.760288 21.344397,68.761079 21.364533,68.766062 21.376541,68.7656 21.394344,68.761019 21.411287,68.750374 21.407658,68.736461 21.413442,68.732342 21.410021,68.727056 21.41987,68.716176 21.413883,68.711667 21.420944,68.702419 21.419876,68.697211 21.446052,68.6873 21.473178,68.68302 21.502643,68.678812 21.555174,68.67707 21.570728,68.671539 21.609555,68.667615 21.621217,68.658508 21.641642,68.652265 21.657567,68.645015 21.70091,68.631735 21.708635,68.619052 21.69813,68.613551 21.698419,68.602357 21.710211,68.592388 21.744196,68.588285 21.77503,68.587523 21.798641,68.587395 21.847613,68.589765 21.876887,68.585491 21.911995,68.57622 21.936921,68.559743 21.9523,68.554176 21.967097,68.551175 21.991573,68.536401 22.00793,68.536889 22.005347,68.527336 22.004911,68.518709 22.01394,68.499165 22.033288,68.485957 22.043931,68.480243 22.074235,68.481138 22.097548,68.481822 22.107431,68.479527 22.115829,68.484079 22.126635,68.477504 22.134736,68.472572 22.158225,68.472392 22.188847,68.482749 22.208775,68.477292 22.230119,68.476179 22.247326,68.483559 22.271365,68.480795 22.287688,68.481255 22.296302,68.484942 22.313341,68.481975 22.331998,68.482497 22.343659,68.482821 22.345911,68.471905 22.34464,68.466703 22.34478,68.454651 22.3367,68.448398 22.339911,68.444181 22.356034,68.445491 22.375589,68.452922 22.390148,68.461935 22.408268,68.465017 22.429072,68.466447 22.437102,68.4615 22.447977,68.454047 22.456,68.449099 22.461174,68.446657 22.459877,68.441455 22.48549,68.442149 22.506618,68.441857 22.531259,68.43563 22.541078,68.43331 22.552717,68.43362 22.568698,68.423713 22.58482,68.425001 22.607925,68.426471 22.609754,68.429101 22.618236,68.433629 22.634367,68.434912 22.635359,68.429772 22.643826,68.422245 22.644321,68.419676 22.657269,68.413126 22.680858,68.412016 22.693466,68.407176 22.683144,68.400023 22.70223,68.397933 22.716341,68.397435 22.724123,68.393331 22.725092,68.388191 22.744486,68.384382 22.762914,68.385712 22.77542,68.393776 22.803315,68.39448 22.813879,68.387859 22.842711,68.383416 22.835304,68.372903 22.833925,68.367704 22.847102,68.359425 22.861654,68.356345 22.886105,68.350064 22.895851,68.347723 22.906675,68.339382 22.912238,68.334355 22.975458,68.332452 22.976671,68.325596 23.008761,68.315181 23.028794,68.307055 23.049791,68.306694 23.061817,68.304397 23.063742,68.293256 23.063351,68.282059 23.072212,68.271082 23.095082,68.259574 23.117345,68.25149 23.136414,68.248493 23.148655,68.230923 23.140865,68.222137 23.142744,68.210994 23.133516,68.210779 23.150409,68.21075 23.381374,68.21035 23.386921,68.175198 23.738953,68.186801 23.786977,68.157637 23.95639,68.151377 24.052836,68.182359 24.219498,68.186505 24.222219,68.186573 24.445494,68.319547 24.697176,68.382525 25.025116,68.395245</coordinates></LinearRing></outerBoundaryIs></Polygon>"
10,Muonion Sähköosuuskunta,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.203901,67.80028 24.089705,67.803398 24.071,67.841074 24.157152,67.893793 24.12848,67.947223 24.420841,68.07501 24.219498,68.186505 24.052836,68.182359 23.95639,68.151377 23.786977,68.157637 23.738953,68.186801 23.386921,68.175198 23.381374,68.21035 23.150409,68.21075 23.139862,68.207485 23.14044,68.204056 23.155141,68.199235 23.15125,68.194842 23.140589,68.189432 23.141311,68.185146 23.138002,68.177324 23.137575,68.166128 23.139738,68.153271 23.144199,68.140468 23.156416,68.13645 23.170356,68.135912 23.199542,68.140888 23.219256,68.147363 23.237523,68.14864 23.260254,68.150876 23.261439,68.157786 23.284598,68.157447 23.28787,68.151498 23.299516,68.150898 23.306971,68.147623 23.307936,68.141622 23.308625,68.137335 23.317962,68.136683 23.321223,68.130733 23.331652,68.123222 23.323006,68.119588 23.323691,68.115302 23.329244,68.109402 23.335204,68.100931 23.345343,68.095133 23.356019,68.085905 23.361692,68.079148 23.371005,68.063867 23.383545,68.05726 23.384217,68.052973 23.397015,68.04465 23.415876,68.041619 23.44874,68.037169 23.465954,68.029797 23.467396,68.020365 23.486619,68.014754 23.524393,68.007813 23.529612,68.003622 23.535855,67.992571 23.553136,67.984331 23.566439,67.971921 23.589408,67.971539 23.610093,67.971107 23.635719,67.968192 23.645972,67.96066 23.646964,67.953799 23.652519,67.947031 23.660476,67.939452 23.647284,67.935742 23.64587,67.929692 23.637866,67.921787 23.632022,67.914786 23.625559,67.912073 23.61036,67.906598 23.590487,67.901885 23.575429,67.89555 23.55228,67.897646 23.548363,67.893262 23.535597,67.886971 23.522198,67.884967 23.500989,67.874193 23.497343,67.868093 23.489927,67.856751 23.491605,67.845603 23.474727,67.836638 23.47868,67.825539 23.475823,67.814294 23.48003,67.801481 23.48637,67.789573 23.487658,67.780998 23.482795,67.767989 23.491386,67.75613 23.47121,67.73935 23.486321,67.729353 23.478695,67.719725 23.484627,67.71039 23.474621,67.701571 23.486552,67.697527 23.49009,67.689001 23.491754,67.677853 23.494438,67.659845 23.517387,67.642273 23.537673,67.627221 23.554307,67.621553 23.550935,67.61374 23.692917,67.614973 23.961498,67.629661 24.150139,67.639977 24.282351,67.627893 24.300746,67.626211</coordinates></LinearRing></outerBoundaryIs></Polygon>"
14,Pellon Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>23.967144,66.848454 23.974637,66.840857 23.993652,66.828319 23.992612,66.814539 23.988125,66.802198 23.976738,66.79725 23.983679,66.785127 23.958447,66.782063 23.937375,66.789396 23.921345,66.795535 23.906281,66.79395 23.911494,66.787171 23.916919,66.778677 23.913326,66.772586 23.892977,66.769821 23.885264,66.766229 23.881707,66.764223 23.880133,66.759461 23.878668,66.753842 23.888874,66.750603 23.887028,66.739385 23.899067,66.730161 23.906272,66.720412 23.896003,66.711435 23.895369,66.707726 23.90364,66.70892 24.053426,66.730544 24.000476,66.84393 23.969054,66.855685 23.952356,66.861931</coordinates></LinearRing></outerBoundaryIs></Polygon>"
18,Koillis-Lapin Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>28.643973,68.196826 27.840637,67.694772 27.811903,67.648521 27.625748,67.608103 27.569605,67.522392 27.529044,67.515656 27.515766,67.52429 27.575847,67.59454 27.435668,67.564047 27.40889,67.576145 27.399802,67.571013 27.39516,67.562432 27.322335,67.499016 27.31341,67.50247 27.29538,67.495631 27.299735,67.485313 27.286141,67.473309 27.27718,67.473325 27.27714,67.469888 27.27708,67.464733 27.236444,67.43215 27.21849,67.425302 27.253952,67.396038 27.253605,67.36339 27.106369,67.351526 27.066075,67.288828 27.061541,67.254463 27.039274,67.213229 27.030386,67.194329 27.012655,67.165119 26.968448,67.144496 26.831857,67.084267 26.770396,67.056696 26.76169,67.046373 26.752852,67.049796 26.56506,66.965191 26.512828,66.944418 26.469182,66.935686 26.610849,66.845017 26.650408,66.826207 26.700254,66.673794 26.704835,66.65318 26.501559,66.637201 26.502491,66.590803 26.623427,66.594575 26.614279,66.627207 26.713737,66.632575 26.70983,66.596479 26.809384,66.57515 26.856838,66.572621 26.848946,66.547633 26.953901,66.488742 27.007996,66.478539 27.109057,66.467708 27.152366,66.528708 27.193214,66.524812 27.199903,66.544631 27.488368,66.516934 27.599762,66.401401 27.632488,66.40653 27.802335,66.433145 27.922225,66.42389 28.038093,66.423163 28.141393,66.429317 28.205443,66.42196 28.213275,66.40643 28.230427,66.406296 28.228873,66.41834 28.252469,66.418152 28.227065,66.425229 28.341121,66.4707 28.389652,66.492621 28.694866,66.486174 29.260181,66.406808 29.253773,66.430973 29.567757,66.434721 29.471634,66.543129 29.405331,66.592556 29.37718,66.599375 29.347346,66.649689 29.237015,66.723512 29.162943,66.770967 29.121077,66.790448 29.09745,66.81999 29.053819,66.872139 29.032889,66.936019 29.063956,66.992351 29.222585,67.093371 29.38629,67.187294 29.463205,67.246311 29.502252,67.280097 29.503327,67.290397 29.518456,67.307355 29.531973,67.308863 29.567721,67.310015 29.569193,67.323748 29.592363,67.331974 29.614611,67.331614 29.632787,67.334756 29.633164,67.33819 29.612035,67.348852 29.644912,67.363791 29.701673,67.392083 29.79782,67.449775 29.89433,67.506549 29.926756,67.514565 30.014064,67.6712 29.658905,67.809796 29.326307,68.077905 28.644858,68.197379</coordinates></LinearRing></outerBoundaryIs></Polygon>"
24,Tornion Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.164542,65.732616 24.173053,65.712133 24.169899,65.683693 24.172523,65.65966 24.162752,65.615616 24.249055,65.663158 24.306435,65.694767 24.30689,65.696831 24.327754,65.791458 24.34248,65.790855 24.348576,65.79268 24.343952,65.7969 24.335231,65.800188 24.326418,65.804334 24.330825,65.82247 24.293431,65.839012 24.267657,65.844575 24.217423,65.862591 24.231638,65.867148 24.239379,65.873308 24.227872,65.88256 24.200409,65.883781 24.189258,65.889597 24.183271,65.905828 24.222243,65.915138 24.253297,65.919997 24.248891,65.941418 24.226651,65.952198 24.189064,65.948935 24.17165,65.934855 24.128068,65.933546 24.096064,65.932584 24.115661,65.926933 24.112812,65.914839 24.109482,65.907036 24.116651,65.89943 24.13479,65.887729 24.154244,65.864011 24.131277,65.862722 24.127756,65.856636 24.12862,65.848912 24.139574,65.844816 24.146431,65.839784 24.152331,65.824413 24.145386,65.811383 24.138448,65.798353 24.130191,65.778417 24.135705,65.766479 24.149659,65.75384</coordinates></LinearRing></outerBoundaryIs></Polygon>"
28,Keminmaan Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.511105,65.779934 24.555711,65.795271 24.582181,65.781074 24.596735,65.782164 24.663183,65.765138 24.665894,65.758301 24.700005,65.75108 24.697993,65.75019 24.683221,65.751686 24.688243,65.742304 24.700592,65.720995 24.7403,65.720729 24.736429,65.717232 24.719744,65.716984 24.720349,65.710114 24.7412,65.710425 24.733762,65.699997 24.744958,65.695704 24.750735,65.696809 24.83662,65.742758 24.82582,65.746904 24.829707,65.750398 24.838205,65.748799 24.854056,65.75934 24.907053,65.750618 24.906496,65.757488 24.912208,65.764444 24.920359,65.767134 24.92734,65.784423 24.96382,65.826179 25.225295,65.926567 25.216952,65.955697 25.22923,65.960997 25.2262,65.961161 25.150933,65.965233 25.157564,65.990241 25.109262,65.987077 25.031131,65.987816 25.038181,65.97845 24.716892,65.961981 24.71199,65.969646 24.578562,66.020052 24.575623,66.019703 24.511711,66.012108 24.524535,65.879897 24.487687,65.869839 24.485049,65.859271 24.484669,65.857751 24.499862,65.850253 24.513339,65.843601 24.500932,65.841679 24.493304,65.833816 24.48367,65.825059 24.478566,65.812936 24.460926,65.80997 24.455883,65.809121 24.456222,65.805687 24.456717,65.805616 24.466853,65.804144 24.445067,65.770245 24.44503,65.770188</coordinates></LinearRing></outerBoundaryIs></Polygon>"
29,Tornionlaakson Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.487687,65.869839 24.524535,65.879897 24.511711,66.012108 24.575623,66.019703 24.505855,66.028781 24.502166,66.109547 24.509709,66.119128 24.502763,66.125034 24.494539,66.186811 24.600347,66.237495 24.686274,66.253417 24.68383,66.280033 24.800415,66.338468 24.806557,66.337051 24.804596,66.339602 25.052803,66.477649 24.989072,66.760943 24.741113,66.759307 24.727648,66.857978 24.869108,66.939891 24.763289,67.113591 24.737463,67.153631 24.713505,67.173062 24.563513,67.277239 24.454971,67.357233 24.409394,67.407233 24.340328,67.485212 24.357468,67.532781 24.315043,67.55014 24.281378,67.627823 24.282351,67.627893 24.150139,67.639977 23.961498,67.629661 23.692917,67.614973 23.550935,67.61374 23.551289,67.614561 23.541283,67.610308 23.542288,67.603448 23.541799,67.591394 23.531947,67.581721 23.541278,67.579554 23.524064,67.574025 23.515587,67.570401 23.502876,67.564966 23.487035,67.565484 23.475683,67.566098 23.462599,67.563232 23.463112,67.559802 23.471508,67.548801 23.47913,67.542944 23.475411,67.537702 23.47131,67.535032 23.458756,67.528735 23.441727,67.522339 23.429317,67.515183 23.430092,67.510039 23.42415,67.504745 23.410846,67.50359 23.405039,67.497439 23.392653,67.49028 23.400666,67.481855 23.409062,67.470857 23.434813,67.463685 23.455696,67.458983 23.481548,67.450945 23.509238,67.445524 23.525729,67.455343 23.544719,67.463493 23.556393,67.460301 23.577496,67.453868 23.615729,67.452954 23.668447,67.444588 23.697488,67.445185 23.718185,67.441306 23.752511,67.43598 23.751799,67.424784 23.748037,67.419547 23.748973,67.412685 23.740753,67.407358 23.736644,67.404694 23.720336,67.393181 23.71964,67.381985 23.728788,67.380451 23.729493,67.375304 23.73055,67.367584 23.741096,67.355756 23.746131,67.351557 23.757607,67.349209 23.76966,67.34257 23.768363,67.335663 23.761923,67.333813 23.745534,67.32316 23.746583,67.31544 23.73968,67.300678 23.729865,67.291017 23.715385,67.28298 23.693196,67.282524 23.65128,67.279934 23.636472,67.274463 23.610099,67.272188 23.590263,67.270907 23.57055,67.268767 23.56057,67.260811 23.561921,67.251377 23.548997,67.248518 23.554289,67.24261 23.562283,67.233319 23.549984,67.226172 23.566212,67.221359 23.594467,67.209919 23.592862,67.205584 23.582657,67.199345 23.581664,67.190721 23.568892,67.187006 23.548514,67.174524 23.558817,67.164423 23.58553,67.147791 23.617696,67.123528 23.657776,67.105448 23.660144,67.088293 23.67213,67.065318 23.707445,67.048848 23.72341,67.028533 23.758979,67.009478 23.806271,66.984415 23.820095,66.979532 23.821327,66.970095 23.833619,66.960019 23.853881,66.956122 23.863412,66.950289 23.866703,66.941753 23.866058,66.929699 23.86749,66.918546 23.872411,66.914343 23.89536,66.906193 23.914899,66.890233 23.924173,66.886113 23.932907,66.886282 23.938025,66.880361 23.946073,66.868476 23.969054,66.855685 24.000476,66.84393 24.053426,66.730544 23.90364,66.70892 23.891248,66.697323 23.885288,66.675702 23.870788,66.670254 23.865384,66.661545 23.867558,66.644386 23.86886,66.63409 23.881179,66.622294 23.878481,66.609338 23.873195,66.599772 23.876974,66.586945 23.865658,66.573817 23.860059,66.566824 23.854897,66.556399 23.842299,66.553565 23.823243,66.550599 23.794642,66.537974 23.793153,66.532782 23.801043,66.521762 23.796962,66.519958 23.780199,66.516173 23.763552,66.511528 23.746912,66.506882 23.740462,66.506748 23.727564,66.506479 23.72168,66.502054 23.716476,66.492483 23.713537,66.482098 23.714328,66.476093 23.70608,66.473339 23.688907,66.472976 23.66667,66.46218 23.646481,66.452284 23.643275,66.428128 23.662479,66.413055 23.664423,66.398472 23.680543,66.390214 23.681793,66.380778 23.658759,66.360499 23.65418,66.346637 23.654217,66.330292 23.649873,66.314714 23.64957,66.300943 23.662392,66.284874 23.671393,66.265281 23.672753,66.254987 23.690566,66.249346 23.697848,66.242619 23.69528,66.229661 23.707169,66.220236 23.722825,66.214546 23.732545,66.205289 23.72684,66.200007 23.727618,66.194002 23.738233,66.194226 23.768396,66.191417 23.794633,66.185941 23.832759,66.170383 23.853866,66.171674 23.865004,66.167599 23.896506,66.170815 23.907848,66.165021 23.923321,66.160168 23.929019,66.14824 23.917032,66.14198 23.915539,66.13679 23.936578,66.120866 23.937406,66.114001 23.940558,66.105462 23.935349,66.095898 23.941646,66.07882 23.959583,66.070573 23.981047,66.050352 24.006697,66.03021 24.043942,66.000827 24.051132,65.975162 24.042909,65.973284 24.039991,65.962047 24.058111,65.951214 24.076018,65.942095 24.085505,65.932814 24.127452,65.934465 24.128068,65.933546 24.17165,65.934855 24.189064,65.948935 24.226651,65.952198 24.248891,65.941418 24.253297,65.919997 24.222243,65.915138 24.183271,65.905828 24.189258,65.889597 24.200409,65.883781 24.227872,65.88256 24.239379,65.873308 24.231638,65.867148 24.217423,65.862591 24.267657,65.844575 24.293431,65.839012 24.330825,65.82247 24.326418,65.804334 24.335231,65.800188 24.343952,65.7969 24.348576,65.79268 24.34248,65.790855 24.327754,65.791458 24.30689,65.696831 24.402066,65.749073 24.438884,65.769282 24.44503,65.770188 24.445067,65.770245 24.466853,65.804144 24.456717,65.805616 24.456222,65.805687 24.455883,65.809121 24.460926,65.80997 24.478566,65.812936 24.48367,65.825059 24.493304,65.833816 24.500932,65.841679 24.513339,65.843601 24.499862,65.850253 24.484669,65.857751 24.485049,65.859271</coordinates></LinearRing></outerBoundaryIs></Polygon>"
36,Rovakaira Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.281378,67.627823 24.315043,67.55014 24.357468,67.532781 24.340328,67.485212 24.409394,67.407233 24.454971,67.357233 24.563513,67.277239 24.713505,67.173062 24.737463,67.153631 24.763289,67.113591 24.869108,66.939891 24.727648,66.857978 24.741113,66.759307 24.989072,66.760943 25.052803,66.477649 24.804596,66.339602 24.806557,66.337051 25.000952,66.292174 25.000748,66.29475 25.005015,66.294805 25.005219,66.292229 25.341459,66.212806 25.781998,66.214315 26.118102,66.152161 26.200259,66.180084 26.236867,66.191533 26.276372,66.194207 26.345899,66.219437 26.411784,66.223997 26.433305,66.213766 26.467879,66.188968 26.607838,66.212587 26.629018,66.219513 26.598917,66.238343 26.57321,66.246868 26.577328,66.255472 26.581391,66.267513 26.581106,66.284698 26.734602,66.300503 26.834961,66.301931 26.850562,66.319643 26.891527,66.320266 26.896894,66.302414 26.918323,66.280086 26.948247,66.255609 26.956787,66.247448 26.974933,66.243796 27.00793,66.244017 27.042012,66.238856 27.04035,66.223945 27.069632,66.211348 27.10151,66.201019 27.190825,66.197927 27.246152,66.200857 27.258915,66.200836 27.324269,66.238093 27.413552,66.291587 27.607994,66.387191 27.632488,66.40653 27.599762,66.401401 27.488368,66.516934 27.199903,66.544631 27.193214,66.524812 27.152366,66.528708 27.109057,66.467708 27.007996,66.478539 26.953901,66.488742 26.848946,66.547633 26.856838,66.572621 26.809384,66.57515 26.70983,66.596479 26.713737,66.632575 26.614279,66.627207 26.623427,66.594575 26.502491,66.590803 26.501559,66.637201 26.704835,66.65318 26.700254,66.673794 26.650408,66.826207 26.610849,66.845017 26.469182,66.935686 26.512828,66.944418 26.56506,66.965191 26.752852,67.049796 26.76169,67.046373 26.770396,67.056696 26.831857,67.084267 26.968448,67.144496 27.012655,67.165119 27.030386,67.194329 27.039274,67.213229 27.061541,67.254463 27.066075,67.288828 27.106369,67.351526 27.253605,67.36339 27.253952,67.396038 27.21849,67.425302 27.236444,67.43215 27.27708,67.464733 27.27714,67.469888 27.27718,67.473325 27.286141,67.473309 27.299735,67.485313 27.29538,67.495631 27.31341,67.50247 27.322335,67.499016 27.39516,67.562432 27.399802,67.571013 27.40889,67.576145 27.435668,67.564047 27.575847,67.59454 27.515766,67.52429 27.529044,67.515656 27.569605,67.522392 27.625748,67.608103 27.811903,67.648521 27.840637,67.694772 28.643973,68.196826 28.470735,68.4655 28.456121,68.464655 28.434431,68.454531 28.385104,68.45065 28.354633,68.449181 28.314922,68.449497 28.28908,68.44712 28.261864,68.461934 27.506358,68.3435 27.515485,68.33574 27.52699,68.33055 27.41079,68.331735 27.392062,68.324049 27.380343,68.318062 27.320269,68.341383 26.209624,68.314045 25.97889,68.279284 25.519879,68.311066 25.025116,68.395245 24.697176,68.382525 24.445494,68.319547 24.222219,68.186573 24.219498,68.186505 24.420841,68.07501 24.12848,67.947223 24.157152,67.893793 24.071,67.841074 24.089705,67.803398 24.203901,67.80028 24.300746,67.626211 24.282351,67.627893</coordinates></LinearRing></outerBoundaryIs></Polygon>"
40,Kemin Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.306435,65.694767 24.249055,65.663158 24.163033,65.613041 24.148931,65.576992 24.330497,65.5637 24.625994,65.624286 24.656211,65.657553 24.679023,65.658762 24.696988,65.667633 24.746716,65.69503 24.744958,65.695704 24.733762,65.699997 24.7412,65.710425 24.720349,65.710114 24.719744,65.716984 24.736429,65.717232 24.7403,65.720729 24.700592,65.720995 24.688243,65.742304 24.683221,65.751686 24.697993,65.75019 24.700005,65.75108 24.665894,65.758301 24.663183,65.765138 24.596735,65.782164 24.582181,65.781074 24.555711,65.795271 24.511105,65.779934 24.44503,65.770188 24.438884,65.769282 24.402066,65.749073 24.30689,65.696831</coordinates></LinearRing></outerBoundaryIs></Polygon>"
41,Rantakairan Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>26.163142,65.823461 25.932462,65.775617 25.679534,65.893541 25.84857,66.014363 25.750246,66.093881 25.557757,66.115269 25.528237,66.112413 25.486728,66.0974 25.459562,66.091115 25.2262,65.961161 25.22923,65.960997 25.216952,65.955697 25.225295,65.926567 24.96382,65.826179 24.92734,65.784423 24.920359,65.767134 24.912208,65.764444 24.906496,65.757488 24.907053,65.750618 24.854056,65.75934 24.838205,65.748799 24.829707,65.750398 24.82582,65.746904 24.83662,65.742758 24.750735,65.696809 24.744958,65.695704 24.746716,65.69503 24.696988,65.667633 24.679023,65.658762 24.656211,65.657553 24.624989,65.624271 24.796086,65.54761 24.804311,65.46515 24.963718,65.535595 25.281118,65.501698 25.547858,65.582706 25.564419,65.583724 25.575127,65.577807 25.754882,65.596576 25.772026,65.585542 25.736856,65.582675 25.786981,65.552012 25.788159,65.551291 26.011659,65.564943 26.020313,65.555545 26.154337,65.555506</coordinates></LinearRing></outerBoundaryIs></Polygon>"
